index,LOCATION,Country,Indicator,SUBJECT,OBS_VALUE,Year
407,IND,India,FDI restrictiveness,TRANSPORT,0.45,1997
408,IND,India,FDI restrictiveness,FINANSERV,0.552,1997
409,IND,India,FDI restrictiveness,BSNSSERV,0.663,1997
427,IND,India,FDI restrictiveness,TRANSPORT,0.37,2003
428,IND,India,FDI restrictiveness,FINANSERV,0.512,2003
429,IND,India,FDI restrictiveness,BSNSSERV,0.603,2003
434,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.597,2003
435,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.45,2003
474,IND,India,FDI flows,OUTWARD,1.5605749844095,2006
548,IND,India,FDI restrictiveness,MEDIA,0.5,2006
600,IND,India,FDI flows,INWARD,7606.0,2005
601,CHN,China (People's Republic of),FDI flows,INWARD,104108.6939,2005
619,IND,India,FDI flows,OUTWARD,0.36671002004961,2005
649,CHN,China (People's Republic of),FDI flows,INWARD,344075.0,2021
713,IND,India,FDI flows,INWARD,2.1789431984403,2007
757,IND,India,FDI flows,OUTWARD,16068.03096,2009
758,CHN,China (People's Republic of),FDI flows,OUTWARD,0.86030280277298,2009
781,IND,India,FDI restrictiveness,MEDIA,0.463,2010
798,IND,India,FDI flows,OUTWARD,15968.12882,2010
799,CHN,China (People's Republic of),FDI flows,OUTWARD,0.95205795318709,2010
813,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.75,2010
814,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.28,2010
857,CHN,China (People's Republic of),FDI flows,OUTWARD,57953.59937,2010
879,IND,India,FDI restrictiveness,PRIMSECT,0.321,2012
880,IND,India,FDI restrictiveness,DISTRIB,0.319,2012
881,IND,India,FDI restrictiveness,MFG,0.055,2012
899,CHN,China (People's Republic of),FDI flows,INWARD,2.82710499855,2012
916,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.584,2012
917,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.625,2012
918,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.525,2012
952,IND,India,FDI flows,INWARD,23995.48781,2012
953,CHN,China (People's Republic of),FDI flows,INWARD,241213.8682,2012
969,IND,India,FDI flows,INWARD,3.7831138723744,2008
1000,CHN,China (People's Republic of),FDI flows,INWARD,3.7336108612503,2008
1024,IND,India,FDI restrictiveness,PRIMSECT,0.213,2020
1025,IND,India,FDI restrictiveness,DISTRIB,0.284,2020
1026,IND,India,FDI restrictiveness,MFG,0.035,2020
1044,IND,India,FDI flows,INWARD,64362.0,2020
1046,CHN,China (People's Republic of),FDI flows,INWARD,1.723175505324,2020
1091,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.05,2020
1092,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.395,2020
1093,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.085,2020
1134,CHN,China (People's Republic of),FDI flows,INWARD,253095.6,2020
1177,CHN,China (People's Republic of),FDI flows,OUTWARD,48420.64106,2011
1257,IND,India,FDI restrictiveness,PRIMSECT,0.32,2011
1258,IND,India,FDI restrictiveness,DISTRIB,0.438,2011
1259,IND,India,FDI restrictiveness,MFG,0.055,2011
1277,CHN,China (People's Republic of),FDI flows,INWARD,3.7088065666981,2011
1303,IND,India,FDI restrictiveness,MEDIA,0.28,2018
1322,IND,India,FDI flows,OUTWARD,11417.789531753,2018
1323,CHN,China (People's Republic of),FDI flows,OUTWARD,1.0293455004773,2018
1345,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.75,2018
1346,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.075,2018
1390,CHN,China (People's Republic of),FDI flows,OUTWARD,143026.6,2018
1436,CHN,China (People's Republic of),FDI flows,OUTWARD,136910.0,2019
1555,IND,India,FDI restrictiveness,PRIMSECT,0.213,2019
1556,IND,India,FDI restrictiveness,DISTRIB,0.284,2019
1557,IND,India,FDI restrictiveness,MFG,0.035,2019
1574,IND,India,FDI flows,INWARD,50609.92,2019
1575,CHN,China (People's Republic of),FDI flows,INWARD,1.3107157764389,2019
1610,IND,India,FDI flows,INWARD,28153.03424,2013
1611,CHN,China (People's Republic of),FDI flows,INWARD,290928.4315,2013
1695,IND,India,FDI restrictiveness,TELECOMMS,0.175,2013
1696,IND,India,FDI restrictiveness,ELECTRICITY,0.064,2013
1697,IND,India,FDI restrictiveness,TOT,0.259,2013
1714,IND,India,FDI flows,OUTWARD,0.09206569993318,2013
1864,IND,India,FDI restrictiveness,MEDIA,0.28,2017
1883,IND,India,FDI flows,OUTWARD,11090.15031,2017
1884,CHN,China (People's Republic of),FDI flows,OUTWARD,1.1233732081819,2017
1914,IND,India,FDI restrictiveness,TELECOMMS,0.175,2014
1915,IND,India,FDI restrictiveness,ELECTRICITY,0.064,2014
1916,IND,India,FDI restrictiveness,TOT,0.258,2014
1934,IND,India,FDI flows,OUTWARD,0.57204258051133,2014
1949,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,0.99,2014
1951,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.432,2014
1952,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.245,2014
2015,IND,India,FDI restrictiveness,TRANSPORT,0.127,2016
2016,IND,India,FDI restrictiveness,FINANSERV,0.279,2016
2017,IND,India,FDI restrictiveness,BSNSSERV,0.563,2016
2037,IND,India,FDI flows,INWARD,1.9409250717294,2016
2052,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.385,2016
2053,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.25,2016
2221,IND,India,FDI restrictiveness,TRANSPORT,0.233,2015
2222,IND,India,FDI restrictiveness,FINANSERV,0.301,2015
2223,IND,India,FDI restrictiveness,BSNSSERV,0.563,2015
2243,IND,India,FDI flows,INWARD,2.0500438256076,2015
3315,IND,India,FDI restrictiveness,MFG,0.237,1997
3317,IND,India,FDI restrictiveness,PRIMSECT,0.488,1997
3322,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.625,1997
3324,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.665,1997
3325,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.55,1997
3404,IND,India,FDI restrictiveness,MEDIA,1.0,1997
3405,IND,India,FDI restrictiveness,DISTRIB,0.6,1997
3413,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,1.0,1997
3414,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.808,1997
3415,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.379,1997
3446,CHN,China (People's Republic of),FDI flows,OUTWARD,149692.3,2022
3464,IND,India,FDI flows,INWARD,1.4397880853356,2022
3499,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.737,2003
3500,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.675,2003
3573,IND,India,FDI restrictiveness,MEDIA,1.0,2003
3575,IND,India,FDI restrictiveness,DISTRIB,0.59,2003
3585,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.875,2003
3586,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.763,2003
3675,IND,India,FDI flows,OUTWARD,2978.0,2005
3677,CHN,China (People's Republic of),FDI flows,OUTWARD,0.6006036454162,2005
3717,IND,India,FDI flows,INWARD,0.93660054146988,2005
3802,IND,India,FDI restrictiveness,TELECOMMS,0.425,2006
3803,IND,India,FDI restrictiveness,TOT,0.284,2006
3804,IND,India,FDI restrictiveness,ELECTRICITY,0.05,2006
3832,CHN,China (People's Republic of),FDI flows,OUTWARD,23932.19847,2006
3839,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.75,2006
3840,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.32,2006
3862,IND,India,FDI flows,INWARD,2.2124827720964,2006
3943,IND,India,FDI restrictiveness,PRIMSECT,0.325,2006
3944,IND,India,FDI restrictiveness,DISTRIB,0.438,2006
3945,IND,India,FDI restrictiveness,MFG,0.035,2006
3975,CHN,China (People's Republic of),FDI flows,INWARD,4.5086001044504,2006
3980,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.544,2006
3981,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.35,2006
4032,CHN,China (People's Republic of),FDI flows,INWARD,4.4009839656192,2007
4041,IND,India,FDI flows,OUTWARD,17281.0,2007
4050,CHN,China (People's Republic of),FDI flows,OUTWARD,0.48318924567884,2007
4076,IND,India,FDI flows,INWARD,47472.18879,2008
4077,CHN,China (People's Republic of),FDI flows,INWARD,171534.6503,2008
4091,IND,India,FDI flows,OUTWARD,20794.90602,2008
4093,CHN,China (People's Republic of),FDI flows,OUTWARD,1.2350483120893,2008
4127,CHN,China (People's Republic of),FDI flows,OUTWARD,56742.27663,2008
4145,IND,India,FDI flows,OUTWARD,17239.0,2021
4146,IND,India,FDI flows,OUTWARD,0.54273908980775,2021
4148,CHN,China (People's Republic of),FDI flows,OUTWARD,1.0033282363267,2021
4195,IND,India,FDI flows,INWARD,1.4081496182975,2021
4206,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,1.0,2010
4207,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.436,2010
4208,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.247,2010
4324,IND,India,FDI restrictiveness,PRIMSECT,0.325,2010
4326,IND,India,FDI restrictiveness,DISTRIB,0.438,2010
4328,IND,India,FDI restrictiveness,MFG,0.048,2010
4347,CHN,China (People's Republic of),FDI flows,INWARD,4.0035441396595,2010
4360,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.625,2010
4361,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.598,2010
4362,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.525,2010
4398,IND,India,FDI flows,INWARD,27396.53729,2010
4399,CHN,China (People's Republic of),FDI flows,INWARD,243703.4346,2010
4472,IND,India,FDI flows,OUTWARD,1.2382499957808,2009
4506,CHN,China (People's Republic of),FDI flows,OUTWARD,43889.9855,2009
4525,CHN,China (People's Republic of),FDI flows,INWARD,2.5688946726363,2009
4617,IND,India,FDI restrictiveness,TRANSPORT,0.271,2011
4618,IND,India,FDI restrictiveness,BSNSSERV,0.563,2011
4619,IND,India,FDI restrictiveness,FINANSERV,0.313,2011
4637,IND,India,FDI flows,INWARD,1.9497363121675,2011
4653,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.625,2011
4654,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.598,2011
4655,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.525,2011
4688,IND,India,FDI flows,INWARD,36497.46498,2011
4689,CHN,China (People's Republic of),FDI flows,INWARD,280072.2191,2011
4768,IND,India,FDI restrictiveness,TELECOMMS,0.425,2011
4769,IND,India,FDI restrictiveness,ELECTRICITY,0.05,2011
4770,IND,India,FDI restrictiveness,TOT,0.286,2011
4789,IND,India,FDI flows,OUTWARD,0.67351681751017,2011
4804,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.75,2011
4805,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.28,2011
4815,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.484,2012
4816,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.338,2012
4934,IND,India,FDI restrictiveness,TELECOMMS,0.425,2012
4935,IND,India,FDI restrictiveness,ELECTRICITY,0.064,2012
4940,IND,India,FDI restrictiveness,TOT,0.275,2012
4959,IND,India,FDI flows,OUTWARD,0.45963331588995,2012
4975,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,0.99,2012
4976,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.432,2012
4978,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.245,2012
5088,CHN,China (People's Republic of),FDI restrictiveness,TRANSPORT,0.557,2016
5089,CHN,China (People's Republic of),FDI restrictiveness,FINANSERV,0.563,2016
5090,CHN,China (People's Republic of),FDI restrictiveness,ELECTRICITY,0.495,2016
5130,IND,India,FDI flows,INWARD,44458.57155,2016
5131,CHN,China (People's Republic of),FDI flows,INWARD,174749.5846,2016
5217,IND,India,FDI restrictiveness,MEDIA,0.28,2016
5237,IND,India,FDI flows,OUTWARD,5047.292605,2016
5239,CHN,China (People's Republic of),FDI flows,OUTWARD,1.9266304604342,2016
5260,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.75,2016
5261,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.123,2016
5308,CHN,China (People's Republic of),FDI flows,OUTWARD,216424.4608,2016
5384,CHN,China (People's Republic of),FDI restrictiveness,TELECOMMS,0.75,2014
5385,CHN,China (People's Republic of),FDI restrictiveness,DISTRIB,0.263,2014
5430,CHN,China (People's Republic of),FDI flows,OUTWARD,123129.5543,2014
5512,IND,India,FDI restrictiveness,TRANSPORT,0.263,2014
5513,IND,India,FDI restrictiveness,FINANSERV,0.32,2014
5516,IND,India,FDI restrictiveness,BSNSSERV,0.563,2014
5535,IND,India,FDI flows,INWARD,1.6924951779037,2014
5553,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.484,2014
5554,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.338,2014
5745,IND,India,FDI restrictiveness,PRIMSECT,0.309,2015
5746,IND,India,FDI restrictiveness,MFG,0.046,2015
5748,IND,India,FDI restrictiveness,DISTRIB,0.298,2015
5766,CHN,China (People's Republic of),FDI flows,INWARD,2.1921776748404,2015
5782,CHN,China (People's Republic of),FDI restrictiveness,PRIMSECT,0.447,2015
5783,CHN,China (People's Republic of),FDI restrictiveness,BSNSSERV,0.3,2015
5909,IND,India,FDI restrictiveness,MEDIA,0.31,2015
5923,IND,India,FDI flows,OUTWARD,7514.275638,2015
5930,CHN,China (People's Republic of),FDI flows,OUTWARD,1.5765450671125,2015
5946,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,0.988,2015
5947,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.395,2015
5948,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.21,2015
6036,IND,India,FDI restrictiveness,MEDIA,0.395,2013
6052,IND,India,FDI flows,OUTWARD,1764.948907,2013
6054,CHN,China (People's Republic of),FDI flows,OUTWARD,0.76245867671641,2013
6067,CHN,China (People's Republic of),FDI restrictiveness,MFG,0.245,2013
6070,CHN,China (People's Republic of),FDI restrictiveness,MEDIA,0.99,2013
6071,CHN,China (People's Republic of),FDI restrictiveness,TOT,0.432,2013
6195,IND,India,FDI restrictiveness,FINANSERV,0.32,2013
6196,IND,India,FDI restrictiveness,BSNSSERV,0.563,2013
6197,IND,India,FDI restrictiveness,TRANSPORT,0.263,2013
6214,IND,India,FDI flows,INWARD,1.4685574139107,2013
